region,latitude,longitude,temperature,wind_speed,humidity,rainfall_7day,vegetation_index,outbreak
KPK,32.9362,72.922,35.84,11.33,35.19,6.3,0.444,0
KPK,33.8107,71.7635,27.52,9.41,27.59,6.72,0.115,0
Sindh,23.991,66.72,46.99,26.78,23.95,7.2,0.523,0
KPK,33.1517,70.6015,44.95,11.69,30.77,10.14,0.129,0
Punjab,32.1466,74.416,45.86,22.04,33.99,21.3,0.35,0
Balochistan,30.5981,66.2636,43.13,27.66,43.85,17.85,0.747,0
Punjab,31.2405,73.7481,41.01,27.05,21.31,10.15,0.779,0
Punjab,33.703,71.918,34.34,30.01,30.34,7.47,0.388,0
Punjab,30.6622,74.4566,34.05,10.08,27.4,24.07,0.525,0
Punjab,28.0598,70.4238,42.77,32.0,41.86,21.36,0.578,0
Punjab,33.2447,70.1523,27.0,34.91,31.33,18.68,0.247,0
KPK,32.1283,70.059,42.44,11.54,10.47,24.96,0.117,0
KPK,32.7973,73.2918,30.12,9.04,20.07,5.51,0.748,0
Sindh,27.4414,68.2997,38.35,11.6,37.78,24.18,0.288,0
Balochistan,30.1782,66.3758,30.29,31.03,35.76,7.93,0.439,0
Sindh,26.805,69.5651,33.06,6.85,35.93,23.88,0.268,0
Balochistan,28.4202,66.4118,29.18,33.66,12.32,16.4,0.339,0
Sindh,23.0293,66.3925,44.39,7.73,34.15,23.0,0.289,0
Punjab,31.0183,73.3106,45.08,35.58,26.57,10.94,0.338,0
Balochistan,27.1464,67.3241,34.99,15.56,22.21,21.36,0.624,0
KPK,31.1456,72.8455,44.84,20.62,28.38,23.61,0.249,0
KPK,31.5837,69.6453,36.81,37.78,19.41,21.74,0.635,0
KPK,34.3641,71.6521,39.58,25.66,23.64,5.02,0.314,1
KPK,33.4254,71.7041,43.0,11.01,37.89,17.32,0.489,0
Sindh,27.0889,68.7466,45.46,38.18,10.56,11.41,0.527,0
KPK,33.249,72.7818,42.47,22.31,41.11,6.69,0.387,0
KPK,31.9478,73.4612,34.48,11.93,24.21,10.22,0.4,0
Sindh,24.256,67.6028,27.97,15.37,29.17,11.05,0.343,0
Sindh,24.5288,66.3642,45.52,18.81,37.33,6.98,0.552,0
Sindh,23.3163,66.6585,43.89,27.18,17.37,13.88,0.469,0
Balochistan,30.5141,61.1412,36.37,23.54,22.83,7.43,0.577,1
KPK,34.9507,70.0889,39.89,33.11,28.79,18.52,0.563,0
KPK,32.9124,70.5226,25.55,5.14,16.41,10.16,0.696,0
Punjab,31.2705,73.3073,44.87,8.45,16.59,17.72,0.677,0
Balochistan,26.9238,66.6429,30.36,21.4,29.88,22.17,0.722,0
Balochistan,29.5764,61.7172,32.42,8.14,43.58,20.18,0.422,0
Balochistan,28.4998,62.2401,39.62,29.81,14.58,22.21,0.409,0
KPK,31.5662,71.8509,43.96,21.7,44.8,16.98,0.152,0
Balochistan,30.3496,61.9135,36.4,25.56,14.45,24.07,0.223,0
KPK,35.996,70.4342,31.17,10.59,14.07,7.13,0.655,0
KPK,33.6006,72.0537,30.81,15.05,26.92,20.17,0.135,0
Sindh,24.4363,69.684,34.98,39.62,10.03,8.88,0.437,0
Punjab,29.6465,72.0001,42.12,37.94,39.89,14.11,0.387,0
Punjab,30.3909,71.5846,35.28,15.0,43.58,7.82,0.169,0
Balochistan,29.4788,66.0229,33.04,23.74,37.17,20.45,0.771,0
Balochistan,27.8988,67.192,26.15,5.45,37.44,11.93,0.192,0
KPK,35.6787,71.9881,42.81,33.01,42.49,19.26,0.623,0
KPK,31.9862,70.0677,39.87,19.18,42.47,2.23,0.458,0
KPK,32.8166,70.9514,27.33,28.47,18.69,14.64,0.514,0
KPK,31.427,73.5472,29.26,19.57,24.61,14.98,0.15,0
Punjab,30.3166,73.4491,38.25,8.75,26.8,18.39,0.794,0
Sindh,23.3595,70.545,46.07,7.72,27.7,7.58,0.375,0
Punjab,28.9137,71.3199,34.41,30.65,20.44,8.22,0.299,0
KPK,31.9555,72.8438,30.84,31.85,15.62,8.04,0.426,0
Sindh,27.6833,66.5314,43.52,21.9,32.4,12.77,0.434,0
KPK,33.4587,73.4812,42.75,5.13,19.84,10.54,0.261,0
Punjab,31.7732,73.8142,41.84,17.47,18.14,20.03,0.364,0
Punjab,33.8671,71.0028,29.74,15.22,14.39,9.48,0.738,0
Sindh,27.0609,70.3301,28.79,34.77,40.48,13.74,0.559,0
Balochistan,30.1884,66.1051,32.05,8.27,23.8,3.22,0.763,0
KPK,33.8467,70.9136,41.66,15.7,29.94,13.44,0.103,0
Balochistan,30.5798,62.092,30.03,35.89,8.74,18.82,0.432,0
Sindh,25.3407,70.4377,39.11,19.48,18.83,9.38,0.456,1
KPK,35.7685,72.2106,31.56,9.43,39.17,9.05,0.562,0
Punjab,28.4538,72.8853,39.14,34.74,18.82,4.19,0.365,1
Punjab,28.2329,70.9706,36.81,37.72,38.89,21.06,0.312,0
Balochistan,30.829,63.9519,43.8,33.08,20.9,17.35,0.212,0
Sindh,26.3352,70.5579,32.6,26.75,9.44,4.67,0.682,0
Balochistan,28.3231,63.7689,43.39,8.54,33.01,6.22,0.111,0
KPK,31.9576,71.5213,44.04,13.45,10.91,8.91,0.623,0
Balochistan,27.8584,67.87,40.41,19.06,10.82,18.32,0.532,1
Sindh,26.3335,67.4214,37.89,25.54,24.49,20.9,0.285,0
Balochistan,31.1778,63.1282,38.0,22.7,8.67,23.32,0.155,0
Punjab,28.122,71.0259,35.72,35.74,27.51,23.25,0.439,0
KPK,35.4392,71.2756,37.23,19.14,25.02,0.38,0.299,0
Balochistan,26.7861,65.8077,25.75,22.41,13.73,4.57,0.356,0
Punjab,33.8378,71.1073,42.72,7.04,42.08,21.86,0.5,1
Punjab,32.5906,72.1638,35.65,27.68,8.68,16.35,0.533,0
Balochistan,31.9676,64.8559,41.63,20.83,9.6,7.74,0.324,1
Sindh,24.1832,70.4487,25.2,12.05,43.48,15.34,0.283,0
KPK,34.3205,71.6402,46.33,30.34,15.85,2.63,0.582,1
Balochistan,31.4485,67.435,26.45,29.24,29.16,22.69,0.186,0
Punjab,31.5036,70.4122,41.84,7.44,25.71,4.31,0.627,0
Punjab,32.0278,70.8109,35.7,30.85,40.07,15.66,0.568,0
Sindh,26.281,68.3583,37.58,6.62,31.09,15.65,0.724,0
Balochistan,29.7069,67.1598,27.29,38.68,40.94,6.76,0.676,0
Sindh,26.6546,67.4386,41.22,7.45,39.99,12.49,0.407,0
Balochistan,31.1585,64.666,30.77,13.46,25.87,22.17,0.365,0
Sindh,23.5047,70.8094,39.36,20.96,22.72,8.12,0.787,1
Sindh,26.8561,67.1405,45.29,25.74,22.06,12.55,0.524,0
Balochistan,30.5446,67.0604,42.81,36.03,17.73,5.61,0.426,1
Sindh,24.8451,66.6776,36.4,8.94,42.56,4.59,0.277,0
Sindh,25.1017,70.7178,44.86,35.53,10.64,21.36,0.647,0
Balochistan,30.2882,68.5016,45.07,38.11,17.05,3.29,0.312,1
Punjab,33.1508,72.732,37.53,17.01,28.78,1.83,0.635,0
Sindh,24.6928,68.3672,38.49,35.41,32.49,10.85,0.674,0
Sindh,25.9994,69.4771,43.16,6.96,25.76,13.38,0.218,0
Balochistan,31.486,63.1223,44.89,16.22,28.44,1.26,0.131,0
Balochistan,30.714,63.6062,42.97,19.31,20.09,18.62,0.156,1
Punjab,30.9092,71.775,32.06,38.74,31.74,0.59,0.401,0
KPK,33.1579,72.818,46.84,28.07,9.87,2.61,0.717,1
Balochistan,29.0244,65.3591,31.24,38.19,39.17,18.06,0.155,0
Balochistan,29.8567,65.7015,44.71,27.86,20.91,24.16,0.661,0
KPK,32.3735,73.4388,25.89,36.98,38.82,7.44,0.653,1
KPK,33.2092,72.8535,30.81,5.19,32.73,24.32,0.525,0
Punjab,33.6935,71.23,36.71,21.88,34.01,1.7,0.236,0
KPK,32.1817,69.4893,37.68,24.38,14.97,1.41,0.156,1
Punjab,28.2987,71.3425,39.39,23.68,42.93,9.91,0.586,0
Balochistan,26.7691,61.9834,38.63,28.64,36.76,13.92,0.552,1
Punjab,31.2668,70.8422,41.73,39.47,42.99,4.93,0.713,0
Balochistan,29.9286,64.1207,29.28,30.61,13.7,21.39,0.46,0
Sindh,26.3709,69.1663,27.19,26.15,12.48,1.97,0.469,0
Sindh,26.4172,69.4194,36.04,32.23,39.13,14.49,0.533,0
KPK,35.8794,70.4313,34.32,27.75,8.91,20.26,0.476,0
Sindh,27.0631,66.6429,25.4,29.14,19.15,15.65,0.205,0
KPK,32.8181,70.0841,39.73,38.97,14.5,14.93,0.397,0
Punjab,31.0968,71.5242,40.13,35.24,19.06,4.82,0.181,1
Sindh,26.4504,67.9519,34.15,21.42,21.61,2.52,0.317,0
Punjab,32.218,71.0806,29.03,20.11,38.25,21.07,0.464,0
Balochistan,27.6776,62.0193,39.06,7.63,12.97,16.12,0.338,0
Balochistan,30.5636,62.3457,43.34,11.83,41.03,11.47,0.574,0
Balochistan,31.9934,65.8621,33.9,12.88,17.51,11.99,0.357,0
KPK,35.5072,71.7871,44.11,34.21,38.82,17.45,0.304,0
Sindh,27.354,68.5637,33.76,22.4,32.69,0.32,0.71,0
KPK,31.2711,72.6274,26.78,30.08,17.24,21.94,0.669,0
Balochistan,30.8449,61.8748,33.74,16.79,29.07,21.53,0.155,0
Balochistan,31.2025,68.6214,33.91,22.72,43.95,6.91,0.655,0
Balochistan,28.49,63.6155,38.35,37.57,38.97,24.89,0.116,0
Sindh,25.4415,67.6886,37.08,31.19,37.01,8.12,0.605,0
Punjab,32.3717,71.7742,38.48,25.49,28.26,16.01,0.282,0
Sindh,27.1797,66.7432,35.04,22.23,9.36,4.89,0.679,1
Balochistan,27.1512,61.4897,38.0,39.62,14.17,1.17,0.646,1
KPK,34.0187,69.5263,37.6,22.52,39.66,13.27,0.279,0
Sindh,25.5395,68.6429,42.83,30.74,32.56,2.83,0.604,0
Punjab,30.0521,74.1612,31.05,30.66,11.48,23.78,0.536,0
Punjab,28.0501,70.843,37.78,30.0,41.92,17.64,0.57,0
Balochistan,30.056,66.6453,35.76,18.4,16.22,20.62,0.526,0
Balochistan,31.04,66.7993,44.68,9.11,44.64,5.24,0.108,0
Balochistan,27.8275,62.4083,42.3,15.94,41.83,21.02,0.693,0
Sindh,24.6823,67.056,31.89,11.26,41.37,9.93,0.272,0
Punjab,28.3036,74.6314,46.16,11.63,33.03,2.31,0.611,0
KPK,34.253,73.4484,34.69,36.54,35.77,12.22,0.522,0
Sindh,27.1894,70.4139,45.29,8.66,12.76,13.93,0.726,0
Balochistan,28.6298,63.1015,28.62,29.12,27.04,5.0,0.324,0
Punjab,28.1203,74.4523,37.52,33.42,37.89,4.75,0.177,0
Balochistan,29.8537,61.3069,38.67,32.23,26.51,8.94,0.294,0
KPK,35.1789,71.0758,41.83,11.11,19.92,24.36,0.79,0
KPK,34.7466,73.8235,26.62,6.87,42.69,13.25,0.53,0
Balochistan,28.9955,63.1783,28.73,26.73,34.6,14.24,0.617,0
Sindh,25.9649,70.68,39.92,19.51,33.51,8.6,0.294,0
Balochistan,26.2013,65.4832,40.29,32.85,20.59,0.16,0.436,0
Balochistan,26.2006,63.934,30.22,20.65,10.68,23.85,0.256,0
Balochistan,29.8387,61.4375,33.96,11.21,12.06,14.18,0.75,0
Sindh,25.1229,70.6684,36.93,23.46,13.22,0.02,0.667,1
KPK,33.8193,71.5822,40.99,25.29,14.01,16.85,0.193,0
Sindh,25.317,68.9972,28.77,30.96,19.2,16.56,0.211,0
Balochistan,31.3359,65.1552,37.43,28.44,43.57,15.07,0.492,1
Punjab,28.5263,71.9577,40.69,28.08,31.11,7.06,0.365,0
Sindh,24.6937,68.3499,43.87,15.45,42.18,5.75,0.625,0
KPK,35.4865,71.5911,35.02,6.08,40.53,0.33,0.761,0
Sindh,27.2622,68.5015,39.94,18.72,17.75,23.87,0.523,0
Balochistan,26.0043,68.4948,28.62,13.18,17.75,0.95,0.186,0
Balochistan,27.9101,64.0498,46.8,13.67,26.74,21.11,0.267,0
Sindh,23.517,68.1575,30.06,23.06,17.38,23.51,0.734,0
Punjab,33.7194,72.7049,40.74,24.49,39.63,23.24,0.229,0
Punjab,28.5703,71.0023,34.1,12.22,40.43,3.96,0.419,0
KPK,35.1927,71.3554,34.05,13.28,35.01,3.29,0.576,0
Punjab,32.993,72.4701,27.61,5.48,19.22,17.45,0.653,0
Sindh,23.6762,68.855,33.97,28.15,40.63,10.23,0.303,1
Punjab,31.7636,71.5819,46.41,11.78,20.8,8.95,0.106,0
Sindh,26.7458,67.6439,38.44,35.49,8.57,10.89,0.257,0
KPK,31.2702,71.2862,37.09,36.07,11.87,20.57,0.247,0
Sindh,25.409,68.8561,43.16,14.63,10.78,17.69,0.438,0
KPK,33.4523,70.2885,44.47,25.2,16.18,6.73,0.662,0
Sindh,24.5478,67.4615,42.84,8.07,37.81,16.73,0.613,0
Sindh,23.0117,67.224,39.97,9.24,12.21,10.27,0.553,0
Punjab,28.2253,71.58,31.91,27.17,11.91,15.71,0.167,0
Punjab,32.6155,72.9836,32.42,14.19,12.51,12.74,0.51,0
Punjab,28.2899,72.8163,39.25,12.33,13.37,22.61,0.778,0
KPK,35.6596,70.3944,45.9,7.21,30.31,1.43,0.726,0
KPK,35.3996,73.9987,30.37,31.72,29.7,6.53,0.787,0
Punjab,28.1858,71.3745,25.72,19.71,41.12,24.57,0.546,0
Sindh,23.1795,70.5743,32.74,19.38,8.68,6.76,0.663,0
Sindh,26.4415,67.0986,34.65,32.37,37.01,11.33,0.655,0
Balochistan,30.1212,68.3064,38.39,24.59,43.56,15.68,0.282,0
KPK,31.5224,72.6013,40.12,8.35,42.14,14.21,0.355,0
Balochistan,26.5541,66.3921,26.24,28.55,39.19,9.97,0.465,0
Punjab,30.8393,73.0886,35.04,36.29,26.42,21.05,0.661,0
Punjab,32.4709,71.0678,25.23,32.18,38.4,1.49,0.528,0
Balochistan,26.6557,67.3551,27.18,14.5,39.64,8.66,0.781,0
Punjab,33.6529,74.4393,27.25,31.04,37.81,6.78,0.43,0
KPK,31.6366,69.8784,46.13,29.26,37.65,9.94,0.335,0
Balochistan,27.9666,67.8806,27.7,20.17,22.68,23.45,0.207,1
Sindh,24.6668,68.2456,37.55,20.25,23.35,18.32,0.58,0
KPK,33.7758,72.6521,36.72,37.59,43.2,9.04,0.644,0
Balochistan,30.0984,66.2858,45.91,30.54,9.93,22.11,0.704,0
KPK,33.805,69.6725,32.04,36.97,23.14,18.71,0.179,0
KPK,35.9413,70.9443,26.04,33.04,30.36,4.96,0.446,0
Balochistan,30.1086,62.0035,42.3,5.63,25.86,8.28,0.618,0
Sindh,23.8585,68.6492,31.38,27.01,12.36,16.37,0.298,1
Balochistan,27.5738,67.7111,25.71,23.21,28.98,14.03,0.433,0
KPK,31.3177,70.9812,46.2,23.86,18.65,3.01,0.592,1
KPK,33.7557,72.5434,27.52,15.69,36.91,9.15,0.269,0
Punjab,28.6189,74.7151,42.49,11.34,34.34,9.62,0.382,0
Balochistan,28.8805,64.9313,40.88,37.82,11.38,0.49,0.664,1
Balochistan,27.1688,67.5283,42.66,22.02,19.04,15.95,0.302,0
Sindh,23.6706,66.282,44.1,15.32,8.07,5.6,0.338,0
Punjab,29.446,74.6806,36.44,17.77,40.32,9.87,0.335,0
Balochistan,28.1044,67.0619,37.81,29.11,28.98,17.09,0.102,0
Balochistan,28.2635,66.3126,30.61,9.45,10.17,7.64,0.21,0
Punjab,33.5593,74.4906,41.1,17.84,11.93,17.22,0.785,0
Balochistan,31.2277,62.5407,27.15,36.42,20.95,13.78,0.352,0
KPK,33.1169,69.0225,31.89,23.44,20.0,2.78,0.41,0
KPK,34.9635,72.1456,28.36,29.86,33.06,0.61,0.388,0
Balochistan,28.1595,66.3424,25.89,18.68,37.26,20.08,0.601,0
Punjab,30.477,74.2993,30.54,39.34,30.71,19.84,0.16,0
KPK,35.5075,69.1737,32.04,25.88,30.38,12.0,0.671,0
KPK,31.5398,69.3482,37.96,23.22,35.46,12.74,0.396,0
Balochistan,27.0758,62.8061,25.55,30.3,37.98,19.92,0.189,0
KPK,31.3726,71.552,46.33,29.26,10.62,4.73,0.64,1
Sindh,27.7807,69.4914,29.57,5.71,25.74,12.84,0.268,0
Balochistan,27.2068,62.429,32.43,19.65,26.82,11.92,0.289,1
KPK,35.7289,73.6493,33.39,7.75,14.36,1.48,0.174,0
Punjab,29.2364,72.2061,26.43,33.89,12.66,22.58,0.705,0
KPK,31.8856,71.1433,27.79,24.82,22.74,7.11,0.219,0
Balochistan,30.7104,67.5726,37.2,11.29,25.31,24.2,0.627,0
Punjab,33.2319,70.4903,34.6,38.68,38.86,12.24,0.634,0
Sindh,24.4096,68.6543,26.14,10.55,38.07,3.32,0.263,0
Balochistan,30.2235,66.2064,46.29,35.2,24.61,1.57,0.433,1
Balochistan,30.4613,65.6459,33.54,10.98,16.39,14.39,0.396,0
Balochistan,29.5228,61.5335,43.25,24.68,32.82,17.58,0.304,0
KPK,34.0301,69.4482,46.1,30.05,37.16,17.6,0.513,0
Punjab,32.8433,71.835,31.97,34.75,39.31,8.91,0.683,0
Balochistan,27.449,65.0778,33.36,20.7,44.28,8.76,0.417,0
Punjab,33.3263,71.5909,28.65,31.11,22.0,11.83,0.541,0
KPK,31.6517,70.5463,27.57,39.51,19.42,3.26,0.239,0
Punjab,29.5975,72.486,34.24,11.71,20.35,18.19,0.568,0
Sindh,24.0342,69.2701,34.16,11.29,33.5,14.13,0.701,0
Punjab,29.6708,74.4824,39.0,30.57,41.97,22.8,0.617,0
Punjab,33.7409,71.6499,46.17,36.55,18.0,20.09,0.797,0
Sindh,24.5442,69.0568,46.21,8.35,8.83,1.39,0.137,0
Sindh,26.5246,66.426,39.3,27.88,43.38,0.08,0.274,0
Sindh,24.5825,66.1779,28.01,31.74,8.67,23.36,0.16,0
Balochistan,28.8119,68.5086,29.09,39.23,44.79,13.89,0.219,0
